date,cash_in,cash_out
2026-06-16,1436.35,1445.79
2026-06-17,2329.98,1058.52
2026-06-18,890.05,571.59
2026-06-19,645.21,13757.25
2026-06-20,0.0,100.0
2026-06-21,0.0,50.0
2026-06-22,641.03,1194.2
2026-06-23,2846.38,400.86
2026-06-24,2980.53,1079.23
2026-06-25,2029.13,407.77
2026-06-26,557.66,977.25
2026-06-27,0.0,100.0
2026-06-28,0.0,50.0
2026-06-29,616.66,1471.13
2026-06-30,1081.93,499.67
2026-07-01,12723.2,1481.55
2026-07-02,1666.91,1345.93
2026-07-03,2200.77,10948.61
2026-07-04,0.0,0.0
2026-07-05,0.0,50.0
2026-07-06,2520.99,735.08
2026-07-07,744.18,1152.66
2026-07-08,1600.38,534.24
2026-07-09,1737.94,437.83
2026-07-10,2773.3,684.66
2026-07-11,0.0,50.0
2026-07-12,0.0,50.0
2026-07-13,1800.17,1001.38
2026-07-14,962.14,1466.54
2026-07-15,17014.32,1384.31
2026-07-16,1994.75,1414.06
2026-07-17,721.23,10796.49
2026-07-18,0.0,0.0
2026-07-19,0.0,0.0
2026-07-20,1178.37,1311.61
2026-07-21,1391.88,709.03
2026-07-22,1856.74,555.02
2026-07-23,2505.49,482.01
2026-07-24,2967.22,1249.47
2026-07-25,0.0,100.0
2026-07-26,0.0,100.0
2026-07-27,997.11,1182.48
2026-07-28,2475.44,1066.56
2026-07-29,2815.75,1116.18
2026-07-30,2787.4,1335.04
2026-07-31,1623.63,11988.22
2026-08-01,0.0,50.0
2026-08-02,0.0,0.0
2026-08-03,2324.02,1101.31
2026-08-04,2718.03,919.44
2026-08-05,798.99,1184.57
2026-08-06,2401.96,1017.4
2026-08-07,2427.42,943.18
2026-08-08,0.0,0.0
2026-08-09,0.0,100.0
2026-08-10,1568.85,427.96
2026-08-11,769.73,434.57
2026-08-12,2091.03,745.79
2026-08-13,1771.43,1398.32
2026-08-14,1123.23,13873.63
2026-08-15,0.0,0.0
2026-08-16,0.0,100.0
2026-08-17,1224.38,577.34
2026-08-18,2824.24,1288.93
2026-08-19,2083.51,1358.61
2026-08-20,2509.18,605.23
2026-08-21,2731.4,993.28
2026-08-22,0.0,50.0
2026-08-23,0.0,100.0
2026-08-24,2740.23,749.8
2026-08-25,775.13,650.73
2026-08-26,1567.77,1299.82
2026-08-27,2651.83,407.65
2026-08-28,1776.87,11747.58
2026-08-29,0.0,100.0
2026-08-30,0.0,50.0
2026-08-31,1344.04,1437.2
2026-09-01,12939.54,1173.32
2026-09-02,1409.07,1468.96
2026-09-03,2906.12,676.96
2026-09-04,1743.12,730.97
2026-09-05,0.0,0.0
2026-09-06,0.0,0.0
2026-09-07,1166.95,1474.28
2026-09-08,1527.59,436.36
2026-09-09,1362.68,1097.79
2026-09-10,2201.76,984.03
2026-09-11,1619.46,13378.97
2026-09-12,0.0,100.0
2026-09-13,0.0,100.0
